t	rad	xerr	yerr
26.935	-0.150	0.005	0.009
27.002	-0.180	0.005	0.009
27.068	-0.189	0.005	0.009
27.135	-0.183	0.005	0.009
27.202	-0.171	0.005	0.009
27.268	-0.106	0.005	0.009
27.335	-0.046	0.005	0.009
27.402	0.019	0.005	0.009
27.468	0.077	0.005	0.009
27.535	0.129	0.005	0.009
27.602	0.167	0.005	0.009
27.668	0.187	0.005	0.009
27.735	0.184	0.005	0.009
27.802	0.165	0.005	0.009
27.868	0.124	0.005	0.009
27.935	0.074	0.005	0.009
28.002	0.010	0.005	0.009
28.068	-0.053	0.005	0.009
28.135	-0.110	0.005	0.009
28.202	-0.155	0.005	0.009
28.268	-0.183	0.005	0.009
28.335	-0.190	0.005	0.009
28.402	-0.173	0.005	0.009
28.468	-0.145	0.005	0.009
28.535	-0.093	0.005	0.009
28.602	-0.034	0.005	0.009
28.668	0.028	0.005	0.009
28.735	0.086	0.005	0.009
28.802	0.136	0.005	0.009
28.868	0.173	0.005	0.009
28.935	0.188	0.005	0.009
29.002	0.184	0.005	0.009
29.068	0.161	0.005	0.009
29.135	0.117	0.005	0.009
29.202	0.065	0.005	0.009
29.268	0.003	0.005	0.009
29.335	-0.060	0.005	0.009
29.402	-0.113	0.005	0.009
29.468	-0.159	0.005	0.009
29.535	-0.181	0.005	0.009
29.602	-0.186	0.005	0.009
29.668	-0.168	0.005	0.009
29.735	-0.132	0.005	0.009
29.802	-0.084	0.005	0.009
29.868	-0.024	0.005	0.009
29.935	0.036	0.005	0.009
30.002	0.095	0.005	0.009
30.068	0.142	0.005	0.009
30.135	0.173	0.005	0.009
30.202	0.188	0.005	0.009
30.268	0.180	0.005	0.009
30.335	0.156	0.005	0.009
30.402	0.111	0.005	0.009
30.468	0.053	0.005	0.009
30.535	-0.005	0.005	0.009
30.602	-0.068	0.005	0.009
30.668	-0.118	0.005	0.009
30.735	-0.161	0.005	0.009
30.802	-0.184	0.005	0.009
30.868	-0.181	0.005	0.009
30.935	-0.165	0.005	0.009
31.002	-0.126	0.005	0.009
31.068	-0.074	0.005	0.009
31.135	-0.016	0.005	0.009
31.202	0.047	0.005	0.009
31.268	0.099	0.005	0.009
31.335	0.147	0.005	0.009
31.402	0.176	0.005	0.009
31.468	0.184	0.005	0.009
31.535	0.176	0.005	0.009
31.602	0.145	0.005	0.009
31.668	0.101	0.005	0.009
31.735	0.046	0.005	0.009
31.802	-0.014	0.005	0.009
31.868	-0.073	0.005	0.009
31.935	-0.129	0.005	0.009
32.002	-0.163	0.005	0.009
32.068	-0.184	0.005	0.009
32.135	-0.180	0.005	0.009
32.202	-0.157	0.005	0.009
32.268	-0.121	0.005	0.009
32.335	-0.065	0.005	0.009
32.402	-0.008	0.005	0.009
32.468	0.052	0.005	0.009
32.535	0.107	0.005	0.009
32.602	0.148	0.005	0.009
32.668	0.177	0.005	0.009
32.735	0.183	0.005	0.009
32.802	0.173	0.005	0.009
32.868	0.140	0.005	0.009
32.935	0.096	0.005	0.009
33.002	0.040	0.005	0.009
33.068	-0.023	0.005	0.009
33.135	-0.053	0.005	0.009
33.202	-0.131	0.005	0.009
33.268	-0.165	0.005	0.009
